"timestamp_minute","last","bid","ask","volume","volume_bid","volume_ask","p99_bid","p99_ask","p98_bid","p98_ask","p97_bid","p97_ask","p96_bid","p96_ask","p95_bid","p95_ask","p90_bid","p90_ask","p85_bid","p85_ask","p80_bid","p80_ask","p75_bid","p75_ask"
"1387286160","669.99","668.00","669.99","78395.1292304400","41437","21237","656.30","699.49","653.00","700.00","643.00","700.00","625.00","709.50","615.00","730.00","590.00","785.00","562.51","830.00","530.00","850.00","500.00","873.00"
"1387286220","667.06","667.02","667.06","78432.6685817900","41331","21463","656.31","695.89","653.00","700.00","643.00","700.00","625.00","708.98","615.00","713.00","588.00","780.00","560.00","818.81","530.00","849.99","500.00","870.00"
"1387286280","668.00","667.05","668.00","78320.9481469000","41315","21474","656.30","690.00","653.00","700.00","643.00","700.00","625.00","705.00","615.00","713.00","588.00","780.00","560.00","818.81","530.00","849.99","500.00","870.00"
"1387286400","669.99","667.04","669.99","78062.5378292900","41284","21505","656.30","688.90","653.00","700.00","643.00","700.00","625.00","700.00","615.00","713.00","588.00","778.00","560.00","817.80","525.57","849.99","500.00","870.00"
"1387286460","666.66","666.70","667.04","77935.3844786400","41358","21524","658.00","688.89","653.00","700.00","645.00","700.00","625.00","700.00","615.00","713.00","588.00","778.00","560.00","815.00","530.00","849.99","500.00","870.00"
"1387286520","664.00","664.00","666.07","77883.1680016100","41326","21541","656.31","688.89","653.00","700.00","643.00","700.00","625.00","700.00","615.00","713.00","588.00","776.15","560.00","815.00","530.00","849.99","500.00","870.00"
"1387286580","663.34","663.34","665.30","77808.9181402300","41282","21538","656.30","685.00","653.00","700.00","643.00","700.00","625.00","700.00","615.00","713.00","588.00","777.00","560.00","815.00","525.57","849.99","500.00","870.00"
"1387286640","669.97","667.34","669.97","77413.5745970500","41262","21629","656.30","680.00","653.00","699.50","643.00","700.00","625.00","700.00","615.00","710.00","588.00","770.70","560.00","808.00","526.00","849.99","500.00","869.98"
"1387286700","663.66","663.66","665.00","77100.2225180400","41280","21633","656.30","680.00","653.00","697.40","643.00","700.00","625.00","700.00","615.00","710.00","588.00","770.70","560.00","808.00","530.00","849.99","500.00","869.98"
"1387286760","663.66","664.99","665.00","76955.0139377400","41335","21646","656.30","680.00","653.00","695.89","643.00","700.00","625.00","700.00","615.00","709.50","588.00","770.00","560.00","802.34","530.00","849.99","500.00","869.98"
"1387286880","663.48","663.06","663.48","76531.3916682800","41317","21655","656.30","680.00","653.00","690.63","643.00","700.00","625.00","700.00","615.00","709.00","588.00","767.40","560.00","800.00","530.00","849.99","500.00","869.98"
"1387286940","666.00","666.00","666.01","76506.9188251100","41394","21658","656.31","685.00","653.00","699.50","643.00","700.00","625.00","700.00","615.00","710.00","588.00","767.40","560.00","800.00","525.00","849.99","500.00","869.98"
